person_id_A,first_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id
740b90d0-9c73-4cdc-a97b-e0fe484c1c60,kelsye,conder, 50, bentham street, , yarrawonga, 4017, wa, 19030602, 34, 02 41183128,2880893
1572bb16-aede-4ef4-9f63-1cd965581078,zarlia,longhurst, 12, collyburl crescent, , newcomb, 2204, vic, 19080421, 24, 04 14939718,1758700
5ca76c61-fd97-4fc4-8b5c-796dec58f4d5,abby,rollins, 85, charleston street, ambervale, camp hill, 3169, , 19170219, 25, 02 70021565,3701978
468c5cb6-97e3-4f9d-9b96-a529e50c2094,katelyn,beatton, 22, ballumbir street, , dulwich hill, 6258, nsw, 19281028, 41, ,4102849
3ec7bdfc-ac4e-49ad-b0fa-482ea10d052f,jack,soden, 67, jondol place, , dianella, 3139, vic, 19840202, 33, 04 44157686,1602377
0eb1b793-8192-45ab-88fe-141fbebbee84,lauren,friswell, 75, bungaree crescent, , petersham, 2713, nsw, 19380413, 19, 07 17117697,9024593
4f621d62-7283-4db5-b7d5-f0a46f74457b,anneliese,cochrane, 295, namatjira drive, , cronulla, 6158, sa, 19910624, , 04 70243000,4649270
e262084d-1ca9-42b7-9c23-518d6433088b,annabel,spratt, 8, kingsmill street, , gilmore, 2113, , 19311124, , 02 14929855,6987663
5dcc71a4-48e4-46d4-98f6-bd82fcc664d5,toby,bartel, 3, gabriel place, pines retirement village, new farm, 2795, nsw, 19200130, 32, 08 78447715,9144086
0f2d3824-544c-4481-96de-c0c61d43b111,brayden,hersey, 14, mokoan place, aminya hmes, brookfield, 3922, nsw, , 30, 07 81460308,6522854
ccc04855-9993-4fc7-9e9a-40fe253db79b,jared,coleman, 13, burnett street, , ashfield, 2228, nsw, 19460403, , 02 68676598,6053434
c2df3756-e385-4737-a3eb-cfd540f45589,matthew,campbell, 112, taronga place, rooganore, unanderra, 6060, nsw, 19460804, , 08 86049630,9066132
9b6a8b2f-4ee1-468d-b00e-2f0bce0c9506,harriet,curry, 31, currong street, bridgefoot down, kuraby, 2036, qld, 19070605, 25, 04 25600283,5328411
6ae0fe8c-4f89-47d2-819b-5afd7346467d,oliver,oddy, 177, sproule circuit, , deer park, 2227, , , , 02 47762768,2049594
2a1380d3-c381-44e9-87aa-fc8577aaf062,henry,kinnane, 52, duffy street, palm lake resort, moranbah, 2168, wa, 19600221, 30, ,7003009
30890f20-4659-4da0-bb1b-ae85f4d4003d,alexandra,afford, 29, city walk, , revesby, 3053, , 19820120, 25, 02 45183638,3451526
f052c86b-6a94-4217-9c85-645a082f2ad5,taylah,coleman, 969, whitelaw street, st francis village, normanhurst, 2779, vic, 19981214, 36, 03 73137453,1286088
f7b0b70a-02a0-44ab-992c-ddd1da0b630e,james,coatsworth, 76, ashburton circuit, st vincents medical centre, osborne, 6108, , 19810725, 23, 03 80163016,4311368
30b8b144-0c74-473d-ba88-611ab84207c4,tahlia,campbell, 10, captain cook crescent, the meadows, seventeen mile rocks, 3204, nsw, 19660226, 35, 02 83516132,2739551
f8b33121-bc76-48df-aadd-f63bb3de29f3,kade,white, 6, baume crescent, , baddaginnie, 6107, qld, 19320901, , 03 77824072,1509049
9e278eb6-03bb-4ee7-a4bb-3f8335f7d1d4,julia,musumeci, 84, britten-jones drive, tulloch, hendra, 2903, nsw, 19121025, , 04 73280906,7970739
4e97e67f-d75e-4718-b854-29945d7c1c56,william,fitzpatrick, 42, rubicon street, swinger hill, cairns, 2262, wa, 19960304, 36, 03 12424053,7193737
6a9f40cf-9e18-4079-b82a-30c5f15af11c,noah,crook, 8, tregear close, , mundingburra, 2117, qld, 19540327, 27, 02 56598462,3255340
a974f1b9-5a3d-48ce-8ec3-f6262b48dc94,finlay,teague, 2, henty street, tathra, woodville north, 4825, nsw, , 32, 07 08116176,4408702
b316d41f-39a6-45ca-b3ad-f9c0f06fd0d6,gabriel,, 73, , , cherrybrook, 6501, , 19650111, 22, 03 19214501,2613941
63c050ce-7493-40f5-b9b1-f20fb2411d3f,jaiden,sax, 10, liffey circuit, , newborough, 6163, vic, 19270929, 26, 03 95725627,9726483
5d61d459-e305-4136-a92c-d9d8865fac1c,,campbell, 234, jondol place, march rising, kilsyth, 4157, qld, 19700725, 32, 04 66836199,4990993
ba87f389-e290-4caf-ac2d-c1966250eb4d,bianca,parreira, 75, bandjalong crescent, , thornbury, 5453, nsw, 19641217, 29, 03 55087011,8432063
d73b0725-cbb0-48d2-96bc-0e0e2a25f04f,lucy,millar, 106, griffith place, salford waters re, millgrove, 3934, nsw, 19541218, 31, 08 51597824,1330688
3fa29feb-5761-4502-9b58-d66ece0a57d8,william,mcphail, 7, wheadon street, , shalvey, 4066, , 19790323, 11, 03 54358345,8462704
54b8af30-1ea4-42fa-ad65-cab0c8ecd82d,jack,bishop, 50, loch street, , connolly, 3142, wa, 19570201, 35, 03 35202270,9017731
f2ad194e-5b5a-4871-8b3b-0eae9c364e11,jessica,tu, 33, spencer street, , moree, 4224, qld, 19720814, 30, 08 55550287,3330267
ee0d87b3-4e10-4d7a-ab64-d95fb69a6223,beau,stanley, 8, forrest place, , gowanbrae, 6069, tas, 19061103, 21, ,8970698
e8cb7aac-328b-480b-9e67-43cfe4ff3fad,marcus,ryan, 301, donnan street, riga, , 4702, , 19680228, 39, 02 07723842,9602324
bc333900-9f83-4592-a0f2-be2d3eb32932,yana,lambertus, 39, shackleton circuit, river mews, mount isa, 5254, nsw, 19430213, 38, 07 35196143,8783325
8a4c82c5-188a-4233-bc62-559c06283f6d,rachel,heilmair, 237, glynn street, , jindalee, 2140, qld, , 32, 08 74699719,9229191
1f6d255c-ae4a-444d-ab33-ec0fd4fdf86a,liam,noble, 7, rossarden street, , mossy point, 2035, vic, 19090518, , 04 51578468,3544744
37798014-ad6f-46c6-9500-522b27fa63eb,samantha,tregoning, 6, nepean place, , clayton, 6743, vic, 19630924, , 07 30500338,4922407
41ee535c-d961-4298-8de2-9d8589c7b204,zachary,builth, 151, sidaway street, , avoca beach, 7007, vic, 19610910, 27, ,6563569
40fabb3c-424a-44f2-a5f8-62fcaa729f59,sarah,bishop, 993, chandler street, spring creek, dalby, 6395, qld, 19180809, 22, 07 74636457,7617816
c343fefb-c13f-415d-8113-7a9c147fceb0,adrian,shepherd, 1, montefiore crescent, , artarmon, 2160, qld, 19651222, 31, 04 39486744,7719077
f338cd44-6c63-4067-aad9-0c8441004d14,joshua,green, 158, alexander mackie circuit, , clayton, 2560, nsw, , 40, 02 77998053,7737942
b13d3b2c-4adc-48f6-8751-d261335bd204,isabella,jessup, 30, wedgewood close, , malvern, 2234, nsw, 19860508, , 03 28213315,5223317
71d15bd1-6d5e-46f2-ab36-d3c5012c27a3,william,karoussis, 8, drevermann street, windara, riverwood, 6111, nsw, 19010608, , 04 36773156,3748979
d50f3112-7d5a-461b-9783-5a832620daf6,hannah,guymer, 141, darby street, , cranbourne, 2836, nsw, 19040721, 40, 03 96587893,6445587
6b467278-4799-49d2-8c4c-28a100028b12,michael,lubulwa, 348, barraclough crescent, , valley view, 2540, nsw, 19341203, 36, ,8237625
f5b0e89d-101b-436c-95bc-3e9c56aa9a8f,charlotte,doman, 14, currie crescent, , como, 4551, nsw, 19740204, , 02 11689044,4148447
2e346e6a-d9ef-477b-b853-a4619999a5a9,harrison,hutcheson, 28, postle circuit, , dulwich hill, 2539, vic, 19730101, 28, 07 90360335,9770916
83390e62-a0b6-423b-8378-ec2bd337218b,amy,white, 32, kingsford smith drive, meringle, thornleigh, , vic, 19500910, 36, 04 31040725,2406935
24dd0328-1f07-4441-9772-a10b8bb67a7d,william,coleman, 1, euree street, , port fairy, 3340, qld, 19150805, , 08 18181458,3151234
67798963-1288-4e89-8c27-174109c9663e,kiera,dixon, 4, bosch place, , brighton, 2011, qld, 19760902, 29, 07 24603712,7583660
c546ed35-d6cf-437c-b939-9ae7e0ed5a1e,caleb,hilton, 13, dunstan street, old lake hotel, mount stuart, 4740, vic, 19951117, 23, 02 19714660,4108692
a59bdaaf-a109-498c-a490-dfa9d0998187,zachary,fullgrabe, 8, dobell circuit, karobean, doubleview, 7006, qld, 19590529, 8, 02 27756659,1002644
d68db664-e175-46c5-9669-6ca544694c38,tiffany,nguyen, 4, nemarang crescent, , austins ferry, 2154, nsw, 19071215, 9, 03 06505412,9709691
2acb116a-88fb-41a9-b745-6ed613d571c3,erin,doody, 25, clem hill street, laurel vale poll hereford stud, penrith, 2323, vic, 19051007, 41, 08 87541210,3670979
7818b88b-d877-476b-b4c8-fe9191948f38,jamie,campbell, 23, lampard circuit, willarra, mount macedon, 2114, qld, 19840419, 29, 02 74264746,3092492
124faad4-bd4b-4e2d-aeca-1e3c0a187651,dylan,coleman, 5, sumner place, , hay, 7011, , 19800927, 9, 08 55579528,9092287
044be999-c4d2-437c-8287-ede35489f42a,emiily,jolly, 1, hammill close, , moonta, 2577, wa, 19960125, 33, 04 76204653,6277866
e280ec66-9c41-42fd-9c41-ee219dd00e66,max,nguyen, 21, claxton crescent, grangemore, lower beechmont, 3084, vic, 19270911, 35, 08 63397810,5451189
ad185090-a785-4ea3-ae04-9d1fa136238c,zane,white, 39, , , balcatta, 2290, wa, 19200620, 10, 08 50157576,1133126
86fc2543-7fd3-4002-b65a-88dca701200c,shannon,zbierski, 13, victoria street, , , 6159, vic, 19260102, 20, 08 37747563,7030399
624f6410-dbcc-48c9-b70c-073b1726e0f4,jean-claude,white, 528, key street, , bobin, 3458, vic, 19800101, 20, 03 28090146,5479240
c632d1fe-9c3e-45ae-807e-3cff928aab83,zac,canini, 171, whalan place, oxford, terrey hills, 4207, nsw, , 32, 04 40897322,9700884
b1cc8da3-66e5-42a4-9c08-a663c456bbe4,ashley,finlay, 15, nuyts street, , ourimbah, 6530, vic, 19100124, , 02 39942264,5486559
6a073701-bc4c-41e0-916b-bd8b5fc7a8e1,gianni,hobson, 6, endeavour street, , camperdown, 2430, wa, 19460913, 38, 04 65540693,5471555
dacfd9cf-6543-49f5-a120-872d5d11e31e,adrian,mcclelland, 9, sullivan crescent, , port macquarie, 2850, nsw, 19990712, 32, 04 59939619,9293576
f18b1c8e-67e6-4ebc-b197-e307c834fa0c,grace,webb, 13, bungaree crescent, peninsula retrmt vlge, klemzig, , nsw, 19691026, , 03 88641651,9060323
60f3932b-f63e-4c30-b2e7-3df5a1bb0dc4,adam,hawes, 32, pasmore close, , kellyville, 2170, nsw, 19480725, , 02 05105263,6577843
d3bae92d-3ab9-4c32-b02b-af7c8b7ee8eb,indiana,moody, 12, mcmaster street, post office road, rosebud, 0870, sa, 19420328, 28, 04 83736054,9745141
e0dc6e20-4a77-4b44-8834-27bd3e4be643,bailey,clarke, 4, stretton crescent, , gumdale, 3206, nsw, 19030831, 27, 08 55724252,9067672
8a052292-982a-4d27-bf56-eb83cdcc4010,kynan,herbert, 5, tillyard drive, , nambour, 4211, nsw, 19921015, 34, 03 02214356,6141516
28c52a7b-a2ba-4e28-9c22-a925b28947cc,liam,hill-smith, 38, medley street, hawkins masonic vlge, newborough, 5043, nsw, 19300827, 39, 07 24636218,8888333
8ff1bc85-e6f6-4d64-ae96-ec568f07460a,kelsey,haar, 16, wuronga hill street, , yarrabah, 3188, nsw, 19480711, 24, 07 74156605,8876441
9d28d2ed-db5d-4912-af22-327e77f1dcda,taliah,mcgregor, 3, wybalena grove, biboohra downs, newborough, 2218, vic, 19690628, , 02 90282171,5997152
9abfef5b-f523-4575-9f45-fde3cfa6f4a7,isaac,miles, 2, lewis luxton avenue, , maribyrnong, 5046, vic, 19860113, , 07 67008508,1190226
bb0f2691-7cb2-465b-9702-2b52f797c166,james,shepherd, 11, packham place, , atherton, 5108, vic, 19330502, 28, 02 85516555,5625578
e778f619-0e71-4595-b6b1-f20953e4bceb,john,slape, 5, hodgkinson street, , kings cross, 4017, qld, 19570218, , ,8277624
09ad2503-c6ea-4dd4-9d7e-3c30b38ed248,james,longo, 108, wakefield garden, , prospect, 2120, nsw, 19050130, , 03 87797040,4398533
78a51b12-5797-4885-b578-edcbb4636151,courtney,clarke, 3, rohan street, , beaumaris, 4118, act, 19080918, , 04 72090230,9066220
e496d82d-ca68-4bf4-9109-3d45bb528303,nicholas,rees, 34, , , mitcham, 2190, nsw, , 31, 03 48152407,8000601
66d1ef74-cf9d-4676-90f4-c9075d652a98,christopher,hazell, 25, colbeck street, bonaccord, kirrawee, 2165, wa, 19420927, 22, 02 44344085,8784436
7ad43bf9-8276-45ff-80d6-2d8d87324e93,noah,browne, 33, frew close, meebery, belmont, 7216, , 19110111, , 04 73711088,3082441
c3fc6e6e-624e-40af-bbe8-be2b596875d3,mitchell,clarke, 23, glenmaggie street, , preston, 2146, qld, 19980605, 26, 07 19216274,4751342
650c82f5-c565-4e28-a6d6-9b047d448b78,mitchell,nowlan, 24, schaffer place, , beecroft, 6108, nsw, 19180105, 38, 04 63168872,2463160
7843b473-e2f1-4dc9-9401-ef09a72c3019,mya,weaver, 1066, ainslie avenue, , julatten, 2016, nsw, 19391201, 26, 04 31773085,3873970
1df24407-418d-4103-9a53-e574f6122eac,courtney,bullock, 90, wedgewood close, , farrell flat, 4870, vic, 19821012, 38, 07 32760728,6821364
53fe24b6-67e0-43b8-8281-55c0970734e0,xepheren,fitzpatrick, 15, rose scott circuit, , mosman, 2230, sa, 19940226, 27, 08 95109765,3874427
becbe7ce-d663-42eb-a1f3-13fac7a1a436,ruby,elphick, 32, cowan street, cherry haven, mannum, 3931, nsw, 19910826, , 03 06944308,6249728
0696c2bb-95e1-4f95-bea3-c9f20f34a35c,taliah,george, 69, chubb street, , woodville park, 4506, nsw, 19900914, 33, 07 45108676,4006596
41d2053a-9326-48b8-a71a-d12a3faa6deb,,campbell, 74, heard street, brentwood vlge, norton summit, 2285, qld, 19600821, 35, 03 62768478,5706586
4f807fb9-dc1a-44b9-afdf-7239fe50207e,mitchell,jeffries, 125, connibere crescent, , currimundi, 5555, nsw, 19800818, 32, 08 63311791,2255458
cebd00d7-9b21-4c90-9b31-f489e6e9de74,isabella,hawes, 46, mundang crescent, , berwick, 2153, qld, 19821208, , 04 66763783,9574113
a7a25bc0-9086-4522-bfc5-383841400611,sarah,coleman, 13, london circuit, hopkins view, cleveland, 2628, vic, 19030121, 32, 07 78779949,3385650
da4ac1c3-69cd-4f98-a263-4dfee32d1e16,thomas,parodi, 24, bradfield street, , salisbury east, 2539, wa, 19890831, 31, ,7758027
d867b674-2156-4a6c-b529-a12ca69a621e,liam,bullock, 11, hunter street, kersley mews, homebush, 2767, vic, 19120920, 25, 03 54565782,5063417
41f96814-f588-4046-8721-a9b03845d392,chelsie,ramachandra, 50, toomey place, , salisbury east, 2066, , 19940405, 33, 07 04548136,9579683
c5acf831-0d36-4017-b558-90c2f5310a72,marcus,reid, 30, castleton crescent, , bacchus marsh, 6158, wa, , 30, 08 80315171,7021423
2558c28a-2ec0-43c7-ab52-f8ad39b5a6e8,harrison,morecroft, 155, leahy close, , florey, 7325, vic, 19011204, 31, 02 16264490,4008325
8a2357e6-0447-444c-8e5f-f0c5d1d5fde9,joshua,nguyen, , rollston street, , port fairy, 2540, sa, 19910807, 21, 07 88145213,6141477
ce403427-8931-46f7-be3c-015e82e13a29,joshua,stubbs, 204, namatjira drive, , henley, 3136, , 19470617, 29, 02 43714435,8076160
46d32c58-58a8-4cad-9684-db65932ee9a2,rosie,kirchener, 337, chauvel circle, kilvinton village, thabeban, 3150, sa, 19970731, 21, 02 59904020,5096293
57ccd921-6cba-4180-a6dd-9d61662fcf70,caitlin,lock, 16, julia flynn avenue, , , 2161, vic, , 30, 04 25799790,7603853
2d2f2c31-0951-4339-bedd-a8d1ece08807,imogen,carbone, 2, john russell circuit, , eastwood, 2093, nsw, 19120714, 10, 03 76818798,4777036
caa97c91-f377-43ee-b77c-2b9408ba83af,kaela,heron, 1, bandulla street, , east fremantle, 4305, wa, 19801122, , 04 63679052,4952206
c4942d9f-5fa1-4733-a9bb-66e715a4fc14,alex,coleman, 39, stanbury close, omaru, atwell, 4510, nsw, 19481205, 24, 04 30926294,1804418
a3031e17-cb8e-43e9-8053-298959323ef4,angie,pooke, 11, coobina place, west gippsland hospital, surry hills, 2099, , 19640813, 21, 08 68392935,2568832
28c8809a-7654-4871-9d52-bfd0ff13e89e,aidan,picot, 237, horne place, , ourimbah, 5051, wa, 19011211, 31, 02 62351993,3403136
3e95d849-84f9-493b-a4bc-0b8809232f6a,mitchell,lungershausen, 31, theodore street, , mirboo north, 5417, wa, 19661002, 31, 02 00590198,7195147
28634dd6-728a-41a9-b8d2-ac163b6a16f1,madeline,morrison, , barber crescent, brightwater villas, eglinton, 2233, nsw, 19451020, 23, 02 05262601,8228664
22d787e4-069d-4df0-bd83-724b5cc3effc,natalie,kaplan, 33, mugga way, media park hostel, parramatta, 4221, vic, 19170724, 28, 08 24064068,4838210
78fd76bc-4942-4cd4-8cb1-9ffcd5cf4c81,bethany,wilde, 1, rivers street, lindsey rise, sadleir, 4350, tas, 19590607, 28, 08 40047029,4249948
3d9ea952-976b-4f3c-a7c7-415fd130b62a,angelina,fitzpatrick, 72, archibald street, , thornbury, 4017, nsw, 19640303, 29, ,2173436
e5af7a8f-b66a-493a-9834-8eb0637d6d07,jessica,parr, 407, mather street, , blacktown, 2280, qld, 19100103, , 04 37131286,7426461
1efc971f-04e5-478f-9adc-a560419a0ffa,asha,priest, 26, hansen circuit, , picnic point, 2261, nsw, 19550717, , 04 24350700,7902350
59c9550b-0c8a-40ff-bc04-e5a1ddabe635,sebastian,lamprey, 83, hickenbotham street, rye park, ashfield, 4558, nt, 19591117, 23, 02 09108231,9137763
632aa27a-4fd0-400f-a2c1-99ecc82a329f,dylan,boyes, 7, murray crescent, , moorooka, 4868, vic, 19380411, 29, 07 59355217,1656689
a12cd26f-8170-4a2e-84ba-e28bd54739fc,dante,voivodich, 18, wood place, , sandy bay, 2148, qld, 19110326, 11, 02 10248095,9904707
19c1bfa3-aac4-4476-8b27-79d264e5efe7,jake,reid, 487, herington street, , cooktown, 6050, qld, , 26, 08 68870312,1283945
d1520d77-67f3-410f-aff0-fbe41d3abae7,nicholas,bishop, 45, body place, kinloch court, proserpine, 3046, sa, 19360919, 37, 04 85459617,6817866
0a04f52a-65ac-4fd6-a28a-5ab1d9a9f10f,ethan,ebert, 20, canberra avenue, ashbank, nowra, 2286, nsw, 19110518, 28, 03 44774011,8724935
5a46c2f3-d6f1-44c2-83e9-795c1556b563,jessica,miles, 178, ijong street, , highton, 2446, nsw, 19590422, 33, 02 74913079,4047872
7ec471c2-f045-4fb8-beb6-6dea50523a8b,polly,zaltron, 38, pullar place, rivulett cottage, ballarat, 2127, nsw, 19900722, , 08 68795543,7922219
14f266f2-94c2-4a2b-b06e-1aa598ce2248,maya,paine, 42, barrington crescent, , purga, 7248, qld, 19780820, , 04 61872090,5893382
94424eca-1987-4b9c-92d1-9d4cbdd8fbc7,erin,asher, 12, greenhood place, gumarooka, teesdale, 2428, nsw, 19780605, 30, 08 49642461,7657569
90917f5c-59d7-49c0-92dd-dd7c165b235e,joshua,hobson, 34, madigan street, , maldon, 2652, , 19540729, 33, 03 08980494,8618950
d9a127f9-b2ef-4bab-b11d-453f99c523e6,micah,truslove, 190, deamer crescent, , camira, 6210, sa, 19490529, , 07 24148420,2896820
b30566e2-6f92-404c-b467-b3d10f3039ed,gabriel,norvill, 125, rubin place, bramhill, west lakes shore, 3072, , 19191212, 27, 08 10541039,2527089
eac29e1e-238f-4ffb-b90a-b28dc1d2d7bd,samuel,everett, 24, wrenfordsley place, kilfenora, woodend, 2250, wa, , 33, 02 48519354,6201176
4bd9d3e9-6a70-48ef-9566-6d71a0a78912,,lelic, 7, letters street, , murarrie, 4109, vic, 19720808, 30, ,2584370
10351bab-3c28-4e87-a6f4-42f510ce67f9,chantelle,, 317, nicklin crescent, , brighton, 2216, vic, 19940701, 27, 08 78145897,6458218
93a857fe-a33c-45b1-af7b-318ab2e69e4f,brianna,hope, 33, bamford street, , fletcher, 2454, nsw, 19601103, 35, 03 83973480,4193051
00938e67-5c8e-4dc4-b281-c863fef13941,ella,geraghty, 87, nemarang crescent, innawyn, bondi junction, 6530, wa, 19301108, 25, 04 12274272,1124257
0485b38b-0dd4-4dc4-8bdb-b26b8b6b50c4,adam,white, 30, darmody street, , ashgrove, 6164, act, 19050301, 36, 02 36595209,6997351
c502520d-c0b3-471f-bf5c-b6830307ccad,olivia,kempe, 4, nardoo crescent, byamee, clyde, 6210, nsw, 19341009, 32, 03 79788895,8354396
6384907c-7d95-465e-9246-10f54a9e39e3,shantal,campbell, 51, groom street, , , 3450, nsw, 19120607, 27, 07 05277220,9646201
5a524aeb-4054-4aff-b5ae-c49aee717611,flynn,carbone, 16, illingworth street, , yatteyattah, 2227, nsw, 19410629, 29, 02 82118667,2533102
53cac72d-7f5c-4f2d-83d2-b89c4985ae1a,sarah,mcjannett, 240, namatjira drive, , yorkeys knob, 3123, , 19881029, 31, ,5122866
0e6cb3e4-9262-4234-b826-9a44fc5209af,maya,sushames, 16, keverstone circuit, hundred wokurna, bargara, 2380, wa, 19960125, 30, 04 54938672,4423072
d8167c0c-ef38-4ddc-8c31-afc479dfc1bc,holly,tilakaratne, 108, laycock place, , beechboro, 3334, vic, 19200418, 25, 04 73643771,6804560
d857bbba-9a4a-44e3-9343-879d37a21695,lara,white, 69, higgins crescent, learning earth farm, mittagong, 4074, , 19710701, 36, 02 15408882,7701996
69ea810c-bfab-4a7c-8173-e1974c4b3689,kane,vincent, 68, fox place, , elermore vale, 6009, vic, 19981228, 19, 02 54158499,7377507
932de1db-1fe1-4064-bc2d-72e9219a4d9b,nicholas,baddeley, 4, valder place, , rosewater, 2153, sa, 19551109, , 03 09690320,5346234
ca62d803-10b8-4dab-a543-2346fa20743c,alessandra,stancombe, 69, vincent place, , east hills, 2564, vic, , , 07 38542744,2423598
59193994-f1bc-47ee-9535-f78233547825,mia,feneley, 81, magrath crescent, old post office, blackheath, 3016, wa, 19311016, 27, 02 87197604,2668362
e7391d39-920f-4ae7-9030-dfa804d56e9b,jory,mcdermid, 12, mcalpine place, stanton, avoca beach, 4067, nsw, 19440327, , 02 95042211,3580555
6c53d3e0-a3cc-4c62-ae87-f6c7f1292f8e,jasper,gaskin, 40, piddington street, moorefields, mount isa, 5267, , 19850228, , 08 16754943,7027874
a2b967c3-8253-4392-8e68-26be7ccfe8e6,ellorah,coleman, 246, sheehan street, athlone, bridgewater, 2747, vic, 19030427, 34, 08 34101460,6686425
147130c0-6643-4743-818e-51a91308eceb,isabella,dowley, 125, willoughby crescent, , mooroolbark, 2680, vic, 19800731, 30, 04 10832902,8529847
e8494e46-39ef-44db-8c01-0898d7312021,flynn,nguyen, 308, baracchi crescent, , cairns, 2126, qld, 19790815, 33, 02 19310781,2806390
c97d34c7-0fbe-472d-beb5-9746261cadef,blake,white, 27, sparkes close, western crossing shops, lockleys, 2073, , 19500815, 22, 08 57326348,3528858
aa510a5a-d268-4729-b2dc-8258a11d7044,larissa,dent, 141, riddell court, , surry hills, 6353, vic, 19181121, 36, 03 44179865,8758092
0e98a49f-e5ce-45cc-b669-983575e42e25,georgina,campbell, 82, bull street, , new farm, 3021, vic, 19360329, 34, 03 25260806,6194777
f32aeaec-6b60-4af2-873a-81a36c087a18,tristan,lowe, 33, schoales place, pindara medical centre, west lakes shore, 2528, tas, 19600418, , 07 66992973,6849814
e7fa05d7-802d-4531-a9fb-0bcde3c4fa12,annabel,quodling, 43, ijong street, , seacombe heights, 3181, qld, 19430526, , 03 29968191,8094598
c246cb97-4cd7-4b8e-b7cc-1bb0cafd84ea,reece,rinymalpuy, 23, endeavour street, , brookfield, 6714, nsw, 19550209, 28, 08 55457068,7275248
8eb4ad00-fa42-49ba-990b-3dafdb14f703,james,jolly, 21, wedge crescent, , queenscliff, 2041, , 19751119, 33, 02 94238602,3150898
58d3e933-2c17-4452-bad6-cbcff46d24d3,grace,denholm, 3, piper street, victoria mill estate, bundaberg, 3122, vic, 19220827, 40, 02 88847766,5778290
fc4f291f-ecf0-4d8d-a221-d13e246c0df6,gregory,stoneman, 187, hanson place, , kariong, 2040, , , 16, 08 51966653,3999759
de5d78ca-3081-43f8-9682-d424ddfbbc18,amy,kirana, 67, thurgood court, dalmeny vlg, cumnock, 4053, nsw, 19161102, 25, 03 33176109,9894225
9eb49676-b5af-4a93-a907-01aa72cd3ead,amy,leaver, 34, mehaffey crescent, , leichhardt, 2221, qld, , 37, 07 33436744,9831949
